Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count
2022-03-10 06:12:58+00:00,1501803280091205632,"Stop #coronavirus

Call for the resignation of Tedros Adhanom Ghebreyesus, #WHO Director General
⬇⬇✒
https://t.co/NkaCorRIb5

#coronaviruschina #Pndahugger

#coronachan #corona_chan #コロナちゃん #コロナウィルスちゃん #WuhanVirus #武漢 #Ebola #ebolachan
https://t.co/VQ2gFSS62l",,0,0,0
2022-03-10 05:57:33+00:00,1501799399600668673,Checkmate edwards! Have sine ebola from fort Detrick sprayed on you in your favorite perfume asshole https://t.co/n3C5KyvjSp,,0,0,0
2022-03-10 05:55:45+00:00,1501798947894874113,Ivan the Potato died from Ebola in 1040.,,0,0,0
2022-03-10 05:44:50+00:00,1501796199074041858,"The state department has admitted to 23 weaponized bio labs in Ukraine. With advanced weaponization of the following:
Ebola
Small Pox
Anthrax
Plague
Marburg Hemorrhagic Fever
Hantavirus
and a moderate inventory of chemical weapons too
""https://t.co/cgUE2VVT8Y https://t.co/ZLf6w4Jb0G",,2,0,3
2022-03-10 05:39:25+00:00,1501794836726251523,you don’t get ebola from eating ass mom,,0,0,3
2022-03-10 05:30:56+00:00,1501792701242654723,"When Biowarfare becomes common, America has shown it'll be an easy target. Imagine how bad things would be right, the number of dead if Covid had the death rate of say Ebola. With the increased spread rate and anti-maskers/vaxxers about 50% or more of Us would be dead already",,1,0,2
2022-03-10 05:30:37+00:00,1501792619088781312,Oh! Add irv starrs ebola small pox releasing it”liberally all of nato snd usa with bubonic pleague! Raining on white house snd kremlin. Go to irv dead world i hate all of you im  not helping any of you die,,0,0,0
2022-03-10 05:28:49+00:00,1501792169186705412,"Need to check who did the trials in SA in 2018/19 for Remdesivir &amp; Ebola trials again, &amp; see if there's a connection 🤔 https://t.co/C1hCA8hVwt",,1,0,1
2022-03-10 05:17:12+00:00,1501789242917326856,"US propaganda still think that whole world is made exclusively of idiots that believe in the US image of a ""clean and morally superior"" nation.
Everyone that isn't a complete idiot knows about Fort Detrick, the biggest biological weapons lab in the word.
https://t.co/Q1xFla0v6A https://t.co/Pikd9X6JYk",,0,0,0
2022-03-10 04:56:16+00:00,1501783975118868484,"What they do is word everything in a way so that they have plausible deniability— we don’t have bio weapons labs in Ukraine, we have “biological threat reduction labs” in Ukraine that work with “research materials” like anthrax and Ebola. https://t.co/4iuuitXYF9",,4,1,7
2022-03-10 04:55:54+00:00,1501783886325600256,#USBiolabs calls into question the Ebola outbreaks in Central Africa every few years.,,0,0,0
2022-03-10 04:55:02+00:00,1501783665273098242,"Who remembers this? 
The 1st of 18 Ebola treatment centers in Africa
Link: https://t.co/Wv3wFQmnsr https://t.co/JSUJHYcEa9",,0,0,0
2022-03-10 04:48:51+00:00,1501782108385202180,Crazy how I was more worried about Ebola than I ever was with Covid.,,0,0,0
2022-03-10 04:42:57+00:00,1501780626277421056,Unless Fauci is involved  AIDS SARS  EBOLA and covid19  fact check! I don't remember names but my photographic memory remembers faces. Fauci has always been involved! That's proof of chemical warfare. https://t.co/p2OX6yh0Cn,,0,0,0
2022-03-10 04:37:33+00:00,1501779266366676997,KATE HUDSON FART IN OATS SAVES IS FULL OF MONEY. TIME FOR THE FART CONSTIPATION SHIBA TRON NORA EPHRON TO LUNCHBOXES EVERY CREAMEY ALBERT EINSTEIN ARTIFICIAL INTELLIGENCE DONALD TRUMP MALWARE POUSSETTE KEVIN FART EATING COCOANUTS. WILLIAM HUNG HEINEKEN INFO YOU REQUESTED EBOLA,,0,0,0
2022-03-10 04:31:44+00:00,1501777802051293188,"To school districts like @SMMUSD and @LASchools which are under @lapublichealth that continue weekly testing of healthy kids, even when community cases are negligible, I ask that you include other these viruses in your weekly tests just to be safe: Ebola Dengue Fever Lassa Fever.",,0,1,18
2022-03-10 04:30:18+00:00,1501777440309334021,"Situation Update: Fasten Your Seatbelt For The Truth! Pentagon Funded Bioweapons All Over Ukraine! Anthrax, Plague Infected Fleas, Ebola, Mass Extinction Of Humanity! Food Shortages Coming! Putin Ended Petro Dollar In Russia! – We The People News
https://t.co/TijqfX54rF",,0,1,2
2022-03-10 03:50:57+00:00,1501767539117871106,"Think people had covid been like say Ebola we would all have been happy to lockdown ourselves, BUT it wasn't and was obvious it wasn't pretty early on.",,1,0,3
